作業日,設備ユニット,昼夜,実績コード,人員,開始時刻,終了時刻,備考
2025/11/17,10-1615,夜,31:清掃給油点検,1,2025/11/17 19:33,2025/11/17 19:42,ポカヨケ
2025/11/17,10-1615,夜,50:突発設備故障,1,2025/11/17 19:54,2025/11/17 19:58,リンク⻑さ異常 131対し118投⼊ 取出し起動OK島
2025/11/17,10-1615,夜,50:突発設備故障,1,2025/11/17 20:04,2025/11/17 20:06,10カラミAR164 W118 ⑦誤判定 牧
2025/11/17,10-1615,夜,50:突発設備故障,1,2025/11/17 20:16,2025/11/17 20:21,7スリーブグリース定量弁後退異常 AR164 w131 スリーブグリース塗布後停⽌ 保全連絡 牧 コネクタ接触不良か︖ 様⼦⾒
2025/11/17,10-1615,夜,50:突発設備故障,1,2025/11/17 20:48,2025/11/17 20:53,リンク搬送ロボット異常 取出し不可 箱内バラし起動OK島
2025/11/17,10-1615,夜,50:突発設備故障,1,2025/11/18 02:46,2025/11/18 02:48,11.ソケット⻑− ④ 誤判定 再セット1サイOK島
2025/11/17,10-1615,夜,50:突発設備故障,1,2025/11/18 03:10,2025/11/18 03:14,11.ソケット⻑− 164 118 ⑨ センサー当たり問題無し ソケット部、センサー部清掃再セット1サイOK島
2025/11/17,10-1615,夜,50:突発設備故障,1,2025/11/18 03:42,2025/11/18 03:44,ロボット異常 取出し不可 箱内バラし起動OK島
2025/11/17,10-1615,夜,31:清掃給油点検,1,2025/11/18 04:07,2025/11/18 04:14,清掃
